Customer ID,Distinct count of Invoice No
18287,3
18283,16
18282,2
18281,1
18280,1
18278,1
18277,1
18276,1
18274,1
18273,3
18272,6
18270,2
18269,1
18268,1
18265,2
18263,3
18262,1
18261,2
18260,6
18259,3
18257,8
18256,0
18255,1
18252,2
18251,1
18250,1
18249,1
18248,2
18246,2
18245,7
18242,4
18241,17
18240,1
18239,5
18237,5
18236,6
18235,3
18233,1
18232,4
18231,5
18230,7
18229,20
18228,2
18227,1
18226,11
18225,12
18224,1
18223,14
18222,1
18221,5
18220,1
18219,10
18218,2
18217,2
18216,1
18215,1
18213,1
18212,1
18211,5
18210,6
18209,1
18205,2
18204,3
18203,1
18202,3
18200,1
18198,17
18196,2
18194,1
18193,1
18192,1
18191,1
18190,2
18189,2
18188,3
18185,1
18184,1
18183,2
18181,1
18180,6
18179,6
18178,4
18177,6
18176,1
18174,1
18173,4
18172,20
18171,5
18170,3
18169,1
18168,6
18167,3
18165,1
18164,1
18161,5
18160,2
18159,1
18158,2
18156,2
18155,3
18154,2
18151,2
18150,3
18149,3
18147,2
18146,2
18145,4
18144,12
18143,2
18142,2
18141,0
18139,6
18138,1
18136,3
18135,5
18133,1
18130,3
18129,1
18127,3
18126,1
18125,4
18123,2
18122,6
18121,2
18120,1
18119,1
18118,26
18117,1
18116,8
18114,1
18113,1
18112,2
18110,1
18109,26
18108,1
18106,1
18105,1
18104,1
18102,60
18101,2
18099,1
18097,6
18096,3
18095,2
18094,7
18093,4
18092,11
18088,1
18087,2
18086,1
18085,2
18084,1
18082,1
18081,3
18080,2
18079,4
18078,2
18077,11
18075,10
18074,1
18073,12
18072,1
18071,2
18069,5
18068,1
18067,1
18066,1
18065,14
18064,2
18062,3
18061,10
18059,3
18058,1
18056,1
18055,10
18053,1
18050,1
18048,2
18045,1
18044,10
18043,3
18042,1
18041,21
18040,2
18037,6
18036,3
18035,3
18034,2
18033,1
18032,1
18030,2
18027,1
18024,2
18022,1
18019,1
18018,2
18017,3
18016,5
18015,1
18014,1
18013,2
18011,1
18010,1
18009,1
18008,9
18006,1
18005,2
18004,1
18001,2
17999,2
17997,8
17995,1
17994,4
17991,2
17990,3
17988,7
17987,1
17986,1
17985,1
17984,1
17980,3
17979,4
17978,1
17977,1
17976,1
17975,13
17974,3
17973,1
17972,1
17970,1
17969,2
17968,1
17967,1
17966,5
17965,14
17964,2
17962,1
17961,39
17960,1
17958,1
17957,1
17956,1
17955,4
17954,12
17951,3
17950,3
17949,45
17948,1
17947,1
17946,2
17942,1
17941,1
17940,10
17939,1
17937,7
17936,1
17935,2
17934,2
17932,3
17931,2
17930,5
17929,4
17928,2
17926,2
17925,1
17924,7
17923,1
17921,4
17920,17
17919,1
17917,3
17914,1
17913,2
17912,5
17911,1
