Customer ID,Min. Recency
18287,3719
18283,3680
18282,3684
18281,3857
18280,3954
18278,3750
18277,3735
18276,3698
18274,3694
18273,3679
18272,3679
18270,3715
18269,4035
18268,3811
18265,3749
18263,3700
18262,3817
18261,3720
18260,3849
18259,3701
18257,3716
18256,4031
18255,3766
18252,3727
18251,3764
18250,3978
18249,3694
18248,3790
18246,3700
18245,3684
18242,3749
18241,3686
18240,3723
18239,3895
18237,3679
18236,3706
18235,3748
18233,4002
18232,3758
18231,3869
18230,3686
18229,3688
18228,3727
18227,3894
18226,3715
18225,3680
18224,3940
18223,3678
18222,3769
18221,3699
18220,3896
18219,3679
18218,3883
18217,3706
18216,3708
18215,3766
18213,3913
18212,4003
18211,3702
18210,3678
18209,3705
18205,3713
18204,3748
18203,3834
18202,3876
18200,3783
18198,3681
18196,3772
18194,3741
18193,3827
18192,3748
18191,3938
18190,3869
18189,3754
18188,3692
18185,3926
18184,3692
18183,3895
18181,3701
18180,3681
18179,3686
18178,3790
18177,3708
18176,4030
18174,3684
18173,3763
18172,3691
18171,3735
18170,3710
18169,3737
18168,3853
18167,3680
18165,3854
18164,3708
18161,3687
18160,3734
18159,3978
18158,3686
18156,3689
18155,3752
18154,3680
18151,3811
18150,3709
18149,3727
18147,3722
18146,3817
18145,3689
18144,3684
18143,3793
18142,3828
18141,4037
18139,3694
18138,3972
18136,3740
18135,3706
18133,3888
18130,3685
18129,3920
18127,3696
18126,3737
18125,3706
18123,3701
18122,3685
18121,3826
18120,3891
18119,4044
18118,3687
18117,3702
18116,3744
18114,3967
18113,4045
18112,3689
18110,3696
18109,3678
18108,3925
18106,4006
18105,3714
18104,3714
18102,3677
18101,3688
18099,3804
18097,3684
18096,3688
18095,3989
18094,3758
18093,3770
18092,3679
18088,3738
18087,3775
18086,3951
18085,4007
18084,3693
18082,3702
18081,3713
18080,3695
18079,3722
18078,3894
18077,3685
18075,3700
18074,4050
18073,3791
18072,3832
18071,3934
18069,3703
18068,3966
18067,3717
18066,3752
18065,3682
18064,3810
18062,3850
18061,3698
18059,3686
18058,3686
18056,3965
18055,3684
18053,3743
18050,4036
18048,3880
18045,3722
18044,3681
18043,3701
18042,3730
18041,3688
18040,3696
18037,3831
18036,3709
18035,3712
18034,3698
18033,3742
18032,4011
18030,3681
18027,3775
18024,3829
18022,3712
18019,3728
18018,3785
18017,3758
18016,3709
18015,3681
18014,3705
18013,3832
18011,4050
18010,3933
18009,3912
18008,3747
18006,3700
18005,3680
18004,4039
18001,3689
17999,3714
17997,3751
17995,3958
17994,3798
17991,3902
17990,3913
17988,3688
17987,3862
17986,3733
17985,3699
17984,3822
17980,3842
17979,3712
17978,4042
17977,3706
17976,4049
17975,3692
17974,3701
17973,3728
17972,3918
17970,3888
17969,3843
17968,4050
17967,4048
17966,3714
17965,3714
17964,3708
17962,3819
17961,3698
17960,3848
17958,3793
17957,3743
17956,3926
17955,3875
17954,3682
17951,3716
17950,3749
17949,3678
17948,3824
17947,3714
17946,3910
17942,3684
17941,3807
17940,3726
17939,3836
17937,3685
17936,3682
17935,3815
17934,3728
17932,3706
17931,3811
17930,3712
17929,3688
17928,3722
17926,3810
17925,4049
17924,3678
17923,3959
17921,3741
17920,3681
17919,3765
17917,3722
17914,3680
17913,3735
17912,3987
17911,3686
17908,4050
17906,3924
17905,3748
17904,3698
17901,3706
17900,3841
17899,3836
17898,3762
17897,3849
17896,3700
17895,3721
17894,3748
17893,3902
17892,3733
17891,3839
17890,3999
17889,3889
17888,3695
17887,3806
17886,3708
17885,3689
17884,3680
17883,3680
17881,3981
17880,4041
17879,3850
17878,3720
17877,3847
17874,3862
17873,3757
17871,3881
17870,3679
17869,3784
17867,3707
17866,3819
17865,3707
17864,3689
17863,3736
17862,4000
17861,3680
17860,4045
17859,3981
17858,3682
17857,3680
17856,3678
17855,4049
17854,3862
17852,3688
17850,3979
17849,3895
17848,3758
17846,3762
17844,3783
17843,3980
17841,3678
17839,3719
17838,3703
17837,3719
17836,3724
17835,3679
17832,3726
17831,3710
17830,3678
17829,3975
17828,3685
17827,3682
17824,3728
17820,3868
17819,3748
17817,3681
17816,3713
17813,3691
17812,3689
17811,3681
17809,3693
17806,3688
17805,3750
17802,3759
17800,3714
17799,3699
17797,3699
17796,3717
17795,3856
17793,3702
17791,3706
17790,3703
17789,3958
17788,3750
17787,3829
17786,3762
17785,3730
17783,3749
17781,3836
17779,3698
17777,3701
17775,3931
17774,3773
17772,3687
17771,3733
17770,3875
17769,3689
17768,3685
17767,3692
17765,3835
17764,3727
17763,3940
17761,3709
17760,3698
17759,3694
17758,3696
17757,3678
17754,3677
17752,4036
17750,3682
17749,3855
17747,3777
17746,3911
17744,3680
17742,3790
17739,3688
17738,3696
17737,3686
17736,3686
17735,3679
17734,3730
17733,3715
17732,4049
17731,3756
17730,3680
17728,3680
17727,3686
17725,3693
17724,3734
17723,3804
17722,3773
17720,3703
17719,3714
17718,3909
17716,3699
17715,3877
17714,3997
17712,3721
17711,3687
17709,3846
17708,3864
17707,3862
17706,3681
17705,3680
17704,3845
17703,3712
17702,3707
17701,3929
17700,3693
17698,3937
17697,3913
17696,3715
17695,3808
17694,3818
17693,3813
17692,3804
17691,4035
17690,3707
17686,3684
17685,3693
17684,3720
17682,3687
17680,3700
17679,3729
17678,3940
17677,3678
17676,3681
17675,3678
17674,3751
17673,3678
17672,3720
17671,3692
17670,3904
17669,3719
17668,3678
17667,3743
17666,3680
17664,3695
17663,3702
17660,3818
17659,3680
17658,3687
17656,3750
17655,3687
17654,3954
17653,3706
17652,3702
17651,3688
17650,3698
17649,3811
17648,3737
17647,3742
17646,3896
17644,3678
17643,4050
17642,3796
17640,3763
17639,3953
17637,3708
17636,3685
17634,3713
17633,3708
17631,3678
17630,3846
17629,3682
17628,3758
17625,3695
17624,3691
17623,3709
17621,3698
17620,3736
17619,3989
17618,3682
17616,3850
17615,3807
17614,3734
17613,3699
17612,3730
17611,3680
17609,3717
17608,3710
17604,3894
17603,3727
17602,3679
17601,3916
17600,3694
17597,3890
17596,3700
17595,3689
17594,3762
17593,3680
17591,3750
17590,3679
17589,3737
17588,3777
17585,3786
17584,3684
17582,3913
17581,3677
17580,3929
17579,3681
17578,3867
17576,3685
17574,3919
17573,3706
17572,3748
17571,3727
17569,4009
17567,3684
17566,3685
17564,3701
17562,3691
17561,3696
17560,3771
17557,3691
17556,3882
17555,3696
17554,3678
17553,3806
17552,3719
17551,4036
17550,3874
17549,3700
17548,3894
17547,4049
17545,3720
17542,3946
17540,3685
17538,3702
17537,3706
17536,3854
17535,3957
17534,3730
17531,3797
17530,3678
17528,3678
17527,3730
17526,3678
17525,4036
17524,4038
17523,3688
17522,3678
17521,3701
17520,3730
17519,3694
17517,3985
17516,3692
17515,3708
17514,3805
17513,3749
17512,3705
17511,3679
17510,3701
17509,3734
17508,3957
17507,3938
17506,3747
17505,3838
17504,3883
17503,3679
17502,3686
17501,3897
17500,3694
17499,3966
17498,3752
17496,4035
17495,3684
17492,3925
17491,3678
17490,3677
17489,3735
17486,3938
17483,3742
17481,3680
17480,3750
17475,3756
17472,3868
17470,3721
17469,3693
17468,3687
17466,3687
17464,3835
17463,3693
17462,3728
17461,3699
17460,3755
17459,3720
17458,3692
17457,3803
17456,4042
17455,3880
17454,3869
17453,3694
17451,3678
17450,3685
17449,3679
17448,3821
17447,3717
17446,3853
17444,3824
17443,3896
17442,3706
17440,3824
17438,3924
17436,3678
17434,3679
17433,3765
17432,3695
17431,3990
17430,3709
17429,3797
17428,3677
17427,3748
17426,3681
17425,3696
17423,3722
17422,3693
17420,3727
17419,3688
17418,3719
17416,3706
17415,3756
17414,3720
17412,3679
17411,3689
17410,3693
17409,3861
17408,3840
17406,4007
17405,3678
17404,3681
17403,3713
17402,3681
17400,3803
17398,3791
17397,3699
17396,3716
17394,3896
17392,3983
17391,3840
17389,3677
17388,3754
17387,3696
17386,3684
17385,3691
17384,3696
17383,3681
17382,3742
17381,3685
17379,3688
17377,3700
17376,3747
17375,3867
17374,3895
17373,3717
17372,3717
17371,3694
17370,3749
17368,3700
17367,3915
17365,3689
17364,3677
17362,3916
17361,3726
17360,3694
17359,3688
17358,3980
17357,3701
17356,3988
17354,3727
17353,3806
17351,3713
17350,3685
17349,3856
17348,3691
17347,3763
17346,3680
17345,3692
17344,3723
17343,4032
17341,3833
17340,3686
17339,3771
17338,3694
17337,3828
17334,3978
17333,3762
17331,3800
17330,3699
17329,3691
17325,3957
17324,3694
17323,3692
17321,3685
17320,3777
17317,3723
17315,3677
17314,3701
17313,3694
17312,3815
17311,3755
17309,3772
17307,4042
17306,3687
17303,4038
17302,3691
17301,3698
17299,3688
17298,3778
17297,3694
17295,3705
17293,3685
17291,3985
17290,3680
17289,3708
17288,3686
17287,3703
17286,3698
17284,3737
17282,3807
17279,3734
17278,3918
17277,3904
17274,3712
17272,3719
17268,3784
17267,3804
17266,3679
17265,3815
17263,3885
17262,3729
17259,3825
17256,3784
17255,3717
17254,3681
17253,3695
17252,3793
17251,4039
17250,3680
17248,3797
17247,3692
17245,3881
17244,3730
17243,3678
17242,3785
17239,3989
17238,3679
17237,3688
17236,3689
17235,3702
17234,3859
17233,3712
17232,3679
17231,3689
17230,3941
17229,3773
17228,3692
17227,3695
17226,3985
17223,3987
17222,3742
17221,3684
17220,3701
17219,3708
17218,3681
